SHIV JI 						
						
MANTRA 						
10	गीता श्लोक 2	कर्मण्येवाधिकारस्ते मा फलेषु कदाचन...	अपने ज्ञान को कर्म में लगाओ, फल की चिंता में अपनी एकाग्रता मत खोओ।	https://youtube.com/shorts/8-qBFaUbKfs?si=KrUhmC4PxuR0yc_a		
11	वैदिक मंत्र	ॐ संगच्छध्वं संवदध्वं सं वो मनांसि जानताम्...	हम सब साथ मिलकर चलें, साथ मिलकर बोलें और ज्ञान को गहराई से समझें।	https://youtu.be/Z9JLAy20J2M?si=LYnXlNrvxAd7pEoO		
						
						
💰 WEALTH / PROSPERITY						
						
🕉️ Mantras						
क्रम संख्या	मंत्र का नाम	पूरा मंत्र (Lyrics)	लाभ (Benefits)	यूट्यूब लिंक		
1	महालक्ष्मी बीज मंत्र	ॐ श्रीं ह्रीं श्रीं कमले कमलालये प्रसीद प्रसीद श्रीं ह्रीं श्रीं ॐ महालक्ष्म्यै नमः	धन प्राप्ति और दरिद्रता दूर करने के लिए सबसे शक्तिशाली मंत्र।	https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf		
2	कुबेर मंत्र	ॐ यक्षाय कुबेराय वैश्रवणाय धनधान्याधिपतये धनधान्यसमृद्धिं मे देहि दापय स्वाहा	धन के राजा कुबेर का मंत्र जो तिजोरी को हमेशा भरा रखता है।	https://youtu.be/IKGvPex_NQM?si=1DrV4jmYl-n-B0rm		
3	महालक्ष्मी मूल मंत्र	ॐ श्रीं ह्रीं क्लीं श्री सिद्ध लक्ष्म्यै नमः	जीवन में सुख, शांति और व्यापार में वृद्धि के लिए।	https://youtu.be/m8hvtU9Lzzk?si=1K9flqSsHLdbD1bx		
4	लक्ष्मी मंत्र	 ॐ श्रीं महालक्ष्म्यै नमः	धन आने के मार्ग में आने वाली बाधाओं (Obstacles) को दूर करने हेतु।	https://youtu.be/g_czAYo3MKQ?si=-LU0VBJs1MmgBg7t		
5	ऋण मोचन मंत्र	ॐ ऋणमुक्तेश्वर महादेवाय नमः	पुराने कर्जों (Debts) से मुक्ति पाने के लिए विशेष शिव मंत्र।	https://youtu.be/hnxXdqarpKg?si=ipN2Ak8MAnjCvke0		
6	कनकधारा बीज मंत्र	ॐ वं श्रीं वं ऐं ह्रीं श्रीं कनकधारायै नमः	अचानक धन लाभ और समृद्धि के द्वार खोलने के लिए।	https://youtu.be/ZKfNOYMKXI0?si=zYx2HfGOp3vV5N5M		
7	विष्णु लक्ष्मी मंत्र	ॐ लक्ष्मी-नारायणाभ्यां नमः	घर में बरकत और परिवार में सुख-समृद्धि बनाए रखने के लिए।	https://youtu.be/4-XRc7ofCkM?si=bWMvUOXKrHoN6k3S		
8	महालक्ष्मी गायत्री	ॐ श्री महालक्ष्म्यै च विद्महे विष्णु पत्न्यै च धीमहि तन्नो लक्ष्मीः प्रचोदयात्	जीवन में सकारात्मकता और धन के निरंतर प्रवाह के लिए।	https://youtu.be/HeqiNrjiCfk?si=EyUBWgbK16-rLLp0		
9	व्यापार वृद्धि मंत्र	ॐ श्रीं ह्रीं क्लीं महालक्ष्म्यै नमः	दुकान या कारोबार में ग्राहकों और धन की वृद्धि हेतु।	https://youtu.be/9wUtZFEmaLM?si=mnP_uX0SYbSi1G4F		
10	धन प्रदा मंत्र	ॐ ऐं ह्रीं श्रीं क्लीं सौः जगत्प्रसूत्यै नमः	भौतिक सुख-सुविधाओं और विलासिता (Luxury) की प्राप्ति के लिए।	https://youtu.be/zOtUr7eqq-Q?si=6Xk-u7lMCxPw1Bef		
						
📜 Stotram						
क्रम संख्या	स्तोत्र का नाम	देवी / देवता	मुख्य लाभ (Benefits)	यूट्यूब लिंक		
1	कनकधारा स्तोत्र	माँ लक्ष्मी	दरिद्रता मिटाने और अचानक धन लाभ के लिए सबसे प्रभावशाली।	https://youtu.be/3Y1JGvieOBk?si=-Vziy6rODds0zN_H		
2	श्री सूक्तम	माँ लक्ष्मी	जीवन में स्थायी धन, ऐश्वर्य और वैभव लाने के लिए।	https://youtu.be/OC7LQxuhQUU?si=Dk4q0uGOrbCSfm7I		
3	महालक्ष्मी अष्टकम	माँ लक्ष्मी	हर तरह की सुख-सुविधा और अष्ट-सिद्धि प्राप्ति के लिए।	https://youtu.be/RDWtngDhknA?si=WCTJjON7OPrv6Hdy		
4	ऋण मोचन मंगल स्तोत्र	मंगल देव	पुराने कर्जों (Loans) से मुक्ति और आर्थिक बोझ कम करने हेतु।	https://youtu.be/ztcH7tkeLhs?si=C0V9hG-DwmGJeZjj		
5	अष्टलक्ष्मी स्तोत्र	माँ लक्ष्मी	जीवन के 8 अलग-अलग क्षेत्रों में समृद्धि पाने के लिए।	https://youtu.be/qb5EuozSWA0?si=1DOqyZO7j9BrmhKi		
6	लक्ष्मी हृदय स्तोत्र	माँ लक्ष्मी	व्यापार में बड़ी कामयाबी और अटके हुए धन की प्राप्ति हेतु।	https://youtu.be/phOoGvDu_h4?si=XKx4FvAb65DYm0Vv		
7	गणेश संकटनाशन स्तोत्र	भगवान गणेश	धन आने के मार्ग की हर रुकावट को दूर करने के लिए।	https://youtu.be/aTFeZxXkL78?si=duxsc5pwTGoNRBpq		
8	अन्नपूर्णा स्तोत्र	माँ अन्नपूर्णा	घर में कभी भी अन्न और धन की कमी न होने देने के लिए।	https://youtu.be/UkT5eHWOIjQ?si=mbNXv4_wRxfFKtJ6		
9	इन्द्राक्षी स्तोत्र	माँ इन्द्राक्षी	राजसी सुख, सम्मान और बड़े ऐश्वर्य की प्राप्ति के लिए।	https://youtu.be/cuSGy5SuVtA?si=A8nPscCPd5cXWYal		
10	नारायण सूक्तम	भगवान विष्णु	परिवार में बरकत और लक्ष्मी-नारायण की संयुक्त कृपा हेतु।	https://youtu.be/vLP6gdiDbOU?si=m7rY9Wm1sygwWuaf		
11	शुभ-लाभ स्तोत्र	गणेश-लक्ष्मी	घर और दुकान में शुभ लाभ और बरकत बनाए रखने हेतु।	https://youtu.be/EFbGj-F1vpA?si=FXDu5q3EIA-7EOXe		
						
📖 Chalisa						
क्रम संख्या	चालीसा का नाम	देवी देवता	मुख्य लाभ	यूट्यूब लिंक		
1	लक्ष्मी चालीसा	माँ लक्ष्मी	सुख समृद्धि और स्थायी धन के लिए	https://youtu.be/otWnO-2pwuM?si=yXHgB1p63SthIoiC		
2	कुबेर चालीसा	भगवान कुबेर	धन के भंडार और आय बढ़ाने के लिए	https://youtu.be/auyzyuKCpL0?si=E_RDoIahVN6_-lTw		
3	गणेश चालीसा	भगवान गणेश	व्यापार में लाभ और बाधाएं दूर करने हेतु	https://youtu.be/WyHFSjN0miU?si=C2PbbebEskn6KqLR		
4	सरस्वती चालीसा	माँ सरस्वती	बुद्धि से धन कमाने की शक्ति हेतु	https://youtu.be/w19sRwFqbwY?si=gQYxs5wL-HxhsoAF		
5	महालक्ष्मी चालीसा	माँ महालक्ष्मी	विलासिता और लग्जरी जीवन की प्राप्ति हेतु	https://youtu.be/OruIDUg1jgE?si=pnWArCGpZsJFDKiE		
						
						
Aarti						
क्रम संख्या	आरती का नाम	देवी देवता	मुख्य लाभ	यूट्यूब लिंक		
1	लक्ष्मी जी की आरती	माँ लक्ष्मी	घर में स्थायी सुख और धन वृद्धि के लिए	https://youtu.be/zdZ67AM47u8?si=Ff03RfC0f0Fll-oI		
2	कुबेर जी की आरती	भगवान कुबेर	धन के खजाने और आय बढ़ाने के लिए	https://youtu.be/c0J1WntPaDg?si=MKuPTGQBJ6wKVF5s		
3	माँ अन्नपूर्णा आरती	माँ अन्नपूर्णा	अन्न और धन की बरकत बनाए रखने हेतु	https://youtu.be/ISURgmavEAc?si=Ytk5EqWInYj2tffi		
4	माँ वैभव लक्ष्मी आरती	माँ लक्ष्मी	विलासिता और सुख-सुविधाओं की प्राप्ति हेतु	https://youtu.be/y9Py0BBVHpQ?si=-NbQ4ysBoYNJS-3Y		
						
📖 Shlokas						
क्रम	श्लोक	स्रोत	अर्थ	यूट्यूब लिंक		
1	नमो नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते	महालक्ष्मी अष्टकम	हे महामाया, आपको नमस्कार है, आप धन और ऐश्वर्य की देवी हैं	https://youtube.com/shorts/7BEYmt8EeX8?si=kqi58ODFW_qjBs1A		
2	धनं धान्यं पशुं बहुपुत्रलाभं शतसंवत्सरं दीर्घमायुः	श्री सूक्तम	धन, धान्य और सुख-समृद्धि के साथ लंबी आयु प्राप्त हो	https://youtube.com/shorts/8hbV_LQKvv0?si=k4cFAIlX83ys0rDI		
3	अश्वदायै गोदायै धनदायै महाधने		आप वाहन, गौ-धन और अपार धन देने वाली महालक्ष्मी हैं			
4	सुवर्णवृष्टिं कुरु मे गृहे श्रीः		हे लक्ष्मी माता, मेरे घर में सुख और धन की वर्षा करें			
5	यत्र योगेश्वरः कृष्णो यत्र पार्थो धनुर्धरः	भगवद गीता	जहाँ ज्ञान और कर्म साथ हैं, वहाँ विजय और वैभव निश्चित है	https://youtube.com/shorts/zolakx_rOSQ?si=Vp--jZEZzZ9vBkXI		
6	उद्यमेन हि सिध्यन्ति कार्याणि न मनोरथैः	सुभाषित	मेहनत से ही कार्य सिद्ध होते हैं और धन की प्राप्ति होती है	https://youtu.be/WCcW1Efq3W4?si=-ql30mOBC_JbYjXP		
7	यक्षाय कुबेराय वैश्रवणाय धनधान्याधिपतये	कुबेर मंत्र	धन के स्वामी कुबेर देव हमें समृद्धि और वैभव प्रदान करें	https://youtu.be/IKGvPex_NQM?si=wE8sis6qTbHLMdVg		
8	कर्मण्येवाधिकारस्ते मा फलेषु कदाचन	भगवद गीता	निष्काम कर्म ही श्रेष्ठ है, जिससे स्थायी समृद्धि प्राप्त होती है	https://youtube.com/shorts/8-qBFaUbKfs?si=3v_PngXwBsh9bHST		
9	सर्वमङ्गलमाङ्गल्ये शिवे सर्वार्थसाधिके	श्री दुर्गा सप्तशती	आप सभी मंगल करने वाली और कार्यों को सिद्ध करने वाली हैं	https://youtu.be/ZdBVEV5u2To?si=em-5O2iYoV9z50BF		
10	आपदामपहर्तारं दातारं सर्वसंपदाम्	राम रक्षा स्तोत्र	सभी विपत्तियों को हरने वाले और सभी संपत्तियां देने वाले	https://youtu.be/y-Xv63obhKI?si=M5eZNo40oYpESgJA		
						
						
❤️LOVE / RELATIONSHIPS						
						
🕉️ Mantras						
क्रम	मंत्र का नाम	मंत्र	लाभ (Fayda)	यूट्यूब लिंक		
1	क्लीं बीज मंत्र	ॐ क्लीं नमः	प्रेम आकर्षण और रिश्तों में खिंचाव बढ़ाने के लिए।	https://youtu.be/UHtAU58ELkE?si=yxeapbxaw_kJ1bNd		
2	कामदेव गायत्री	ॐ कामदेवाय विद्महे, पुष्पबाणाय धीमहि, तन्नो अनंग प्रचोदयात्	दांपत्य जीवन में रोमांस और आकर्षण बढ़ाने के लिए।	https://youtu.be/9kCXXD5q_pU?si=_RY68kIVPMHzXFvS		
3	कात्यायनी मंत्र	कात्यायनी महामाये महायोगिन्यधीश्वरी, नन्दगोपसुतं देवि पतिं मे कुरु ते नमः	मनचाहा पति पाने और प्रेम विवाह की बाधाएं दूर करने हेतु।	https://youtu.be/6YC07U56lEE?si=yMIUoQan-D0osO7O		
4	पत्नी प्राप्ति मंत्र	पत्नीं मनोरमां देहि मनोवृत्तानुसारिणीम्, तारिणीं दुर्गसंसारसागरस्य कुलोद्भवाम्	सुंदर और योग्य पत्नी की प्राप्ति के लिए।	https://youtu.be/LuWevgdKr9Q?si=HhnO6BMkATAi6ph8		
5	गौरी-शंकर मंत्र	हे गौरी शंकर अर्धांगिनी यथा त्वं शंकर प्रिया, तथा मां कुरु कल्याणी कान्त कान्तां सुदुर्लभाम्	वैवाहिक सुख और प्रेम संबंधों को मजबूत करने के लिए।	https://youtu.be/5kYzdHgQ0Sc?si=0oKvROBFY-KkJgc3		
6	विष्णु-लक्ष्मी मंत्र	ॐ लक्ष्मी-नारायणाभ्यां नमः	घर में शांति, प्रेम और सुख-समृद्धि बनाए रखने के लिए।	https://youtu.be/4-XRc7ofCkM?si=X27vyybJleAeslG2		
7	शिव शक्ति मंत्र	ॐ साम्ब सदाशिवाय नमः	पति-पत्नी के बीच झगड़े खत्म कर एकता लाने के लिए।	https://youtu.be/Ly_Md1OOyTE?si=ni-k1rrLMF2suMfD		
8	रुद्र मंत्र	ॐ नमः शिवाय	मन को शांत रखने और रिश्तों में स्थिरता के लिए।	https://youtu.be/bc1obsjb58c?si=oQIb1G1Fx1wOJ8Gw		
9	अर्धनारीश्वर मंत्र	ॐ ह्रीं अर्धनारीश्वराय नमः	रिश्तों में संतुलन और आपसी समझ बढ़ाने के लिए।	https://youtu.be/x59vh8Wga9A?si=yJ0p8EUrHmBJleRO		
10	माँ सरस्वती मंत्र	ॐ ऐं नमः	रिश्तों में संवाद (Communication) सुधारने और मधुर वाणी के लिए।	https://youtu.be/B2Mbb_uUC8E?si=9o3n9FgDqedN50LH		
						
📜 Stotram						
क्रम	स्तोत्र का नाम	स्तोत्र (आरंभ)	लाभ	YouTube लिंक		
1	राधा कृपा कटाक्ष	मुनीन्द्रवृन्दवन्दिते	प्रेम संबंधों में दैवीय कृपा के लिए	https://youtu.be/nD43xuZB9xs?si=LMJtx3GY-6ANjWtb		
2	मधुराष्टकम	अधरं मधुरं वदनं मधुरं	रिश्तों में कड़वाहट दूर कर मिठास के लिए	https://youtu.be/sdZpM8paUnM?si=nAeAA34E_6X4S8uO		
3	कामदेव स्तोत्र	ॐ नमः कामदेवाय	आकर्षण शक्ति और प्रेम बढ़ाने के लिए	https://youtu.be/w33Iznz_KsI?si=uYFHFSDCIwF4os7W		
4	अर्धनारीश्वर स्तोत्र	चाम्पेयगौरार्धशरीरकायै	पति-पत्नी में आपसी समझ और समानता	https://youtu.be/-pr1RUnmvyI?si=2PVjdNGq0NJo_38s		
5	जानकी स्तोत्र	नमोऽस्तु रामाय	रिश्तों में वफादारी और समर्पण के लिए	https://youtu.be/LoGSKVXB2Ls?si=2Su-HweMiKrZ9_Fb		
6	पार्वती स्तोत्र	देवि प्रपन्नार्तिहरे	वैवाहिक क्लेश और तनाव दूर करने के लिए	https://youtu.be/SVvds0DcG9o?si=MMDOAIQtFUGfmMbP		
7	लक्ष्मी नारायण स्तोत्र	लक्ष्मीपते कमलनाभ	घर में सुख-शांति और प्रेम की स्थिरता	https://youtu.be/EkAUXHqqaLk?si=b2ZaLaeUWX9IOTP5		
8	मंगल चण्डिका स्तोत्र	रक्ष रक्ष जगन्माते	प्रेम विवाह की बाधाओं को दूर करने हेतु			
9	कृष्ण अष्टकम	भजे व्रजैकमण्डनं	जीवन में आनंद और खुशहाल संबंधों के लिए	https://youtu.be/PvdeDNeCiQc?si=GEiACiPyXCFv9oen		
10	उमा महेश्वर स्तोत्र	नमः शिवाभ्यां	अटूट प्रेम बंधन और एकता के लिए	https://youtu.be/62P8Q14nU0A?si=qD2LqxbE7pEEMdRw		
11	अन्नपूर्णा स्तोत्र	नित्यानन्दकरी वराभयकरी	परिवार में प्रेम और भरपूर बरकत के लिए	https://youtu.be/UkT5eHWOIjQ?si=wBoYN_nxertpZqQW		
						
🙏 Stuti						
क्रम	स्तुति का नाम	स्तुति (आरंभ)	लाभ	YouTube लिंक		
1	पार्वती स्तुति	जय जय गिरिवर राज...	प्रेम विवाह में सफलता	https://youtu.be/dUtIRqj23YQ?si=a5BLdB6m1ACieT8D		
2	राधा स्तुति	राधे मेरी स्वामिनी...	सच्चे प्रेम की प्राप्ति	https://youtu.be/U6GsNZbJoCg?si=scgaeQU6MLSYdZNJ		
3	सीता स्तुति	जनक सुते जगदम्बा...	रिश्तों में मर्यादा और प्रेम	https://youtu.be/RlNJspksnbg?si=RCael-63gpq5zKU4		
4	कृष्ण स्तुति	कस्तूरी तिलकम...	आकर्षण और प्रेम हेतु	https://youtu.be/f_tCqLX6GNU?si=g9esdPlr_XnbbTWa		
5	लक्ष्मी स्तुति	नमस्तेस्तु महामाये...	सुखी दांपत्य जीवन	https://youtu.be/yfYUZ6juevk?si=txXjqTklefjUdFv9		
6	गोपाल स्तुति	श्री कृष्ण चन्द्र...	रिश्तों में मधुरता	https://youtu.be/gyLT2Yz_yHo?si=nhoDAX1GtLKoJJzs		
7	दुर्गा स्तुति	सर्व मंगल मांगल्ये...	बुरी नज़र से सुरक्षा	https://youtu.be/1kskWmG_u5Q?si=NtjDNiRY45StpS88		
8	नारायण स्तुति	शान्ताकारं भुजग...	रिश्तों में स्थिरता	https://youtu.be/Im5TK-glA9M?si=9nkexVkWvXGF3cUA		
9	सरस्वती स्तुति	या कुन्देन्दु तुषार...	बातचीत में मिठास	https://youtu.be/Njc1Hu6WPDU?si=2e_xq2AoGxLJomUg		
10	हनुमान स्तुति	अतुलित बल धामं...	बाधाएं दूर करने हेतु	https://youtu.be/iWd6VAWduZg?si=qrMcv4ayCSmC3X_q		
11	गणेश स्तुति	गजाननं भूत गणादि...	नए रिश्ते की शुभ शुरुआत	https://youtu.be/agqwzb3YzQ0?si=XnSUpCXTo4pmEzDK		
						
🎶 Bhajans						
क्रम	भजन का नाम	गायक/प्रसिद्धि	मुख्य लाभ	YouTube लिंक		
1	राधे राधे बरसाने वाली	गौरव कृष्ण	प्रेम भाव जगाने हेतु	https://youtu.be/61EGpAy4Ids?si=N2hWEO1airA1nztA		
2	अच्युतम केशवम	पारंपरिक	समर्पण और प्रेम हेतु	https://youtu.be/3yczGKnskts?si=FvdBzJon0L1sUzSE		
3	श्यामा आन बसो	तृप्ति शाक्या	अकेलेपन को दूर करना	https://youtu.be/XtTG7iT7H3g?si=QwuObktBmdhoY9ZT		
4	मीठे रस से भरयो री	पारंपरिक	रिश्तों में मधुरता हेतु	https://youtu.be/4n1L6AQJe9w?si=hJNCIVTpZW79gT8h		
5	यशोमती मैया से बोले	लता मंगेशकर	निश्छल प्रेम के लिए	https://youtu.be/yWTN6bsDWN4?si=UqPSo0fBRLeKdbXM		
6	सीताराम चरित पावन	जगजीत सिंह	आदर्श पारिवारिक जीवन	https://youtu.be/mzC2BCNNjv8?si=zBzGv6XCc9R0tuPM		
7	कन्हैया ले चल पार	पारंपरिक	संकट में साथी का साथ	https://youtu.be/mAsyg8JA6Ss?si=nB6Q9x1tXuBrc2hN		
8	श्याम तेरी बंसी	आरती मुखर्जी	आकर्षण बढ़ाने हेतु	https://youtu.be/NM9pHX6dqDc?si=yD0O5B6BDILeMxT8		
9	हमें राधा रानी तेरे नाम का सहारा	चित्र विचित्र	भावनात्मक मजबूती हेतु	https://youtu.be/kEKE8ZotzAM?si=ZkzllJn7JhsF2G3Y		
10	ऐसी लागी लगन	अनूप जलोटा	पूर्ण समर्पण के लिए	https://youtu.be/dnCE-kSHES0?si=cYpIjXtwIhaE19YB		
11	हरि बिन कोई न तेरा	मीराबाई	प्रेम में सच्चाई हेतु	https://youtu.be/I8nSdrQiSTM?si=oMwUWlaloJ60zBpr		
						
📖 Katha						
क्रम	कथा का नाम	क्या सीख/लाभ मिलता है?	YouTube लिंक			
1	राधा-कृष्ण प्रेम कथा	निस्वार्थ और अटूट प्रेम	https://youtu.be/8YDJARGajec?si=iem_4YeFPsUqCp1l			
2	शिव-पार्वती विवाह	कठिन तप और सच्चा संकल्प	https://youtu.be/ln8em1Dc5Zs?si=GN2klf1iS7VLEqzm			
3	राम-सीता वनवास कथा	मर्यादा और आपसी साथ	https://youtu.be/_zWa1AjW_C4?si=iIy5LCzFbQXUxqlq			
4	रुक्मिणी हरण कथा	प्रेम में साहस और विश्वास	https://youtu.be/-AbMZAESCQI?si=de-o6-JvfKhPqhZn			
5	नल-दमयंती कथा	मुश्किल समय में प्रेम की परीक्षा	https://youtu.be/LJ2zEAAVQ3A?si=inoRE1raZrjW1xQH			
6	कामदेव-रति कथा	आकर्षण और पुनर्मिलन	https://youtu.be/mj8aJ-MkKrI?si=pOm1dpBVOCj_WZ59			
7	सत्यभामा-कृष्ण कथा	प्रेम में अधिकार और भक्ति	https://youtu.be/MPCopbetzis?si=13kpUoLdLfBEG4Ba			
8	उषा-अनिरुद्ध कथा	प्रेम और परिवार का मिलन	https://youtu.be/ap8oVmjD3xY?si=9uYb0-Hyab8tDv9-			
9	सुभद्रा-अर्जुन विवाह	प्रेम में भाई और मित्र का साथ	https://youtu.be/vyukL1WLoIs?si=wbOWNri_5mDOH6-D			
10	तुलसी-शालिग्राम	पवित्रता और अमर प्रेम	https://youtu.be/Ik_zhFLWVA0?si=VDJeXDG4eTL8qrcf			
11	हनुमान-राम भक्ति	समर्पण का सर्वोच्च प्रेम	https://youtu.be/e3tWzWydNeY?si=0XBD9T2ROK6zls0j			
						
						
😊  HAPPINESS / DEVOTION						
						
🕉️ Mantras						
क्रम	मंत्र का नाम	मंत्र	मुख्य लाभ	YouTube लिंक		
1	गायत्री मंत्र	ॐ भूर्भुवः स्वः...	मानसिक शांति और खुशी हेतु	https://youtu.be/nwRoHC83wx0?si=f1Akd4C3BSvXNJaE		
2	महामृत्युंजय	ॐ त्र्यम्बकं यजामहे...	डर दूर करने और आनंद हेतु	https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343		
3	हरे कृष्ण महामंत्र	हरे कृष्ण हरे कृष्ण...	परम आनंद और शुद्ध भक्ति	https://youtu.be/Zdcth9NndEA?si=cBoFKjOpIFF2NbjP		
4	गणेश मंत्र	ॐ गं गणपतये नमः	तनाव मुक्ति और सुख हेतु	https://youtu.be/Naruxgq6oMU?si=xqSFGrw15ZFcqKY-		
5	शांति मंत्र	सह नाववतु। सह नौ भुनक्तु। सह वीर्यं करवावहै। तेजस्वि नावधीतमस्तु मा विद्विषावहै॥	मन की शांति और सुकून हेतु	https://youtu.be/iRVIbOMymj0?si=p9yfDWWAsb63wtMq		
6	शिव पंचाक्षर	ॐ नमः शिवाय	आत्मिक खुशी और भक्ति हेतु	https://youtube.com/shorts/AK-fDVxDV6A?si=hJqXBNcFgGpUmF7A		
7	लक्ष्मी मंत्र	ॐ श्रीं ह्रीं श्रीं कमले...	समृद्धि और संतुष्टि हेतु	https://youtu.be/bcs4geISuy0?si=-BYP11FJGKAQ7fk3		
8	हनुमान मंत्र	ॐ हनुमते नमः	साहस और मन का उत्साह	https://youtu.be/Zagf46kv7p8?si=adpqwJ6tLsIAHHr0		
9	कृष्ण शरणम	श्री कृष्ण शरणं मम	ईश्वर के प्रति पूर्ण समर्पण	https://youtu.be/1y2tRqtND1Y?si=wVq_YTMXmSeZFrYr		
10	नारायण मंत्र	ॐ नमो नारायणाय	हृदय में भक्ति जगाने हेतु	https://youtu.be/BBV0HQI3NB4?si=hqwyrr6ZWl8nXuSc		
11	बुद्ध मंत्र	बुद्धं शरणं गच्छामि	आंतरिक शांति और ज्ञान	https://youtu.be/ntpeQR7K0PI?si=4_9jjQ1cbxYs7wRa		
						
🙏 Stuti						
क्रम	स्तुति का नाम	स्तुति (आरंभ)	मुख्य लाभ	YouTube लिंक		
1	श्री राम स्तुति	श्री रामचन्द्र कृपालु भजु मन	परम शांति और दुखों का नाश	https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8		
2	शिव स्तुति	पशुपतिं द्युपतिं धरणीपतिं	भक्ति और आत्मिक शक्ति हेतु	https://youtu.be/Nod_i0EKVRw?si=dnGltyIGNaTvUMWF		
3	गणेश स्तुति	गजाननं भूत गणादि सेवितम्	सुख-समृद्धि और मंगल हेतु	https://youtu.be/agqwzb3YzQ0?si=XnSUpCXTo4pmEzDK		
4	नारायण स्तुति	शांताकारं भुजगशयनं	मन की स्थिरता और सुकून हेतु	https://youtu.be/Im5TK-glA9M?si=9nkexVkWvXGF3cUA		
5	सरस्वती स्तुति	या कुन्देन्दु तुषार हार धवला	बुद्धि और मन की स्पष्टता	https://youtu.be/Njc1Hu6WPDU?si=2e_xq2AoGxLJomUg		
6	हनुमान स्तुति	अतुलित बल धामं हेम शैलाभ	साहस और भय से मुक्ति हेतु	https://youtu.be/CIl1O1GwOfk?si=S3QRakW4DlnGi8eb		
7	दुर्गा स्तुति	सर्व मंगल मांगल्ये शिवे	सुरक्षा और मानसिक प्रसन्नता	https://youtu.be/1kskWmG_u5Q?si=NtjDNiRY45StpS88		
8	कात्यायनी स्तुति	कात्यायनी महामाये महायोगिन्य	संकल्प और मनोकामना पूर्ति	https://youtu.be/6YC07U56lEE?si=yMIUoQan-D0osO7O		
9	कृष्ण स्तुति	कस्तूरी तिलकम ललाट पटले	कृष्ण प्रेम और आनंद हेतु	https://youtu.be/f_tCqLX6GNU?si=g9esdPlr_XnbbTWa		
						
🎶 Bhajans						
क्रम	भजन का नाम	मुख्य लाभ	YouTube लिंक			
1	अच्युतम केशवम	भक्ति और मन की शांति हेतु	https://youtu.be/3yczGKnskts?si=FvdBzJon0L1sUzSE			
2	राधे राधे बरसाने वाली	मन में आनंद और प्रेम भरने हेतु	https://youtu.be/61EGpAy4Ids?si=N2hWEO1airA1nztA			
3	ऐसी लागी लगन	ईश्वर में पूर्ण मगन होने के लिए	https://youtu.be/dnCE-kSHES0?si=cYpIjXtwIhaE19YB			
4	श्री रामचंद्र कृपालु	सकारात्मक ऊर्जा और प्रसन्नता	https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8			
5	किशोरी कुछ ऐसा इंतजाम	भक्ति और समर्पण का भाव	https://youtu.be/1B048qCYGJY?si=vGtXpybJT19itVNr			
6	यशोमती मैया से बोले	निश्छल और मधुर भक्ति हेतु	https://youtu.be/RIYVVqu2XY4?si=zZcShWvTzV_kAWCQ			
7	राम नाम के हीरे मोती	जीवन में संतोष और खुशी हेतु	https://youtu.be/6BJR_j4FHz4?si=hRLU-bLSvuuKWHgs			
8	श्यामा आन बसो	ईश्वर के प्रति अटूट प्रेम	https://youtu.be/XtTG7iT7H3g?si=QwuObktBmdhoY9ZT			
9	मीठे रस से भरयो री	जीवन में मिठास और आनंद हेतु	https://youtu.be/w8piP6I3VS0?si=wbezH3AAc4y4WBwb			
10	भर दे रे श्याम झोली	श्रद्धा और विश्वास बढ़ाने हेतु	https://youtu.be/aT9TP5CrLJg?si=3F3TthXHK_-4sHAJ			
11	ओ पालनहारे	गहरी भक्ति और प्रार्थना हेतु	https://youtu.be/kbMinfmC3E0?si=EORk1j1UQxAqRLLu			
12	मेरा आपकी कृपा से	कृतज्ञता और आत्मिक सुख	https://youtu.be/C9EespXQCGE?si=IyEpmHHsEOLzOuXF			
13	छोटी छोटी गईया	भक्ति में कोमलता और आनंद	https://youtu.be/XzqJUoSDHZU?si=8-LAQkUg8tq7ov6T			
						
📖 Shlokas						
क्रम	श्लोक का नाम	पूरा श्लोक	मुख्य लाभ	YouTube लिंक		
1	शांति श्लोक	सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः। सर्वे भद्राणि पश्यन्तु मा कश्चिद्दुःखभाग्भवेत्॥	सबकी खुशी और कल्याण हेतु	https://youtube.com/shorts/uCiRodyfM_8?si=PN-Mn7CrHYKViZK_		
2	समर्पण श्लोक	त्वमेव माता च पिता त्वमेव, त्वमेव बन्धुश्च सखा त्वमेव। त्वमेव विद्या द्रविणं त्वमेव, त्वमेव सर्वं मम देवदेव॥	ईश्वर के प्रति अटूट प्रेम	https://youtube.com/shorts/J6nx86MKzeA?si=Ma4-zWFrTo-M-52R		
3	गणेश श्लोक	वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ। निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा॥	बाधा दूर कर सुख पाने हेतु	https://youtube.com/shorts/1mCkCzBIvDo?si=gbomNeAXomyRR6Xw		
